1,13
2,37
3,26
4,49
5,15
6,65
7,66
8,54
9,11
10,68
11,25
12,87
13,38
14,50
15,48
16,36
17,53
18,14
19,67
20,12
21,70
22,51
23,86
24,27
25,69
26,39
27,64
28,47
29,9
30,52
31,89
32,28
33,84
34,85
35,88
36,16
37,17
38,10
39,35
40,63
41,46
42,29
43,55
44,90
45,40
46,71
47,7
48,8
49,92
50,41
51,93
52,56
53,91
54,72
55,18
56,6
57,94
58,62
59,45
60,83
61,34
62,73
63,20
64,82
65,42
66,58
67,57
68,23
69,74
70,30
71,5
72,75
73,43
74,19
75,32
76,97
77,77
78,3
79,96
80,59
81,44
82,81
83,61
84,31
85,21
86,4
87,95
88,78
89,76
90,60
91,24
92,80
93,99
94,100
95,98
96,22
97,79
98,33
99,2
100,1
