1,1,2
10,13,5
8,8,5
7,10,4
7,12,3
7,4,2
2,4,4
3,10,1
8,2,3
6,5,2
5,2,2
8,11,3
10,13,2
10,13,3
10,3,4
9,8,2
3,7,3
2,12,1
1,11,2
3,13,1
1,7,4
9,10,2
4,13,3
7,4,2
9,15,4
1,3,1
3,9,3
9,12,1
9,5,1
9,4,4
10,1,5
1,7,5
3,15,5
9,4,1
10,7,5
10,9,3
9,6,2
1,15,3
1,3,1
6,9,3
5,13,4
4,13,2
4,3,4
1,5,2
1,11,3
8,9,2
7,15,5
8,3,1
7,13,4
6,6,5
3,1,1
3,12,2
6,4,1
3,7,3
4,11,4
6,11,3
6,11,3
1,6,4
9,8,4
2,12,4
4,14,3
6,13,2
3,13,5
6,4,3
8,9,3
9,14,3
1,10,5
4,6,2
3,6,4
4,5,4
9,3,3
10,2,2
7,12,3
3,3,2
1,1,4
2,12,5
4,6,5
3,2,5
7,7,3
6,4,4
7,14,1
2,4,2
7,1,1
4,15,2
2,5,3
3,8,1
2,6,1
10,1,5
5,12,2
1,11,3
10,6,3
5,13,3
8,1,5
7,4,5
1,7,2
1,3,3
4,14,1
3,11,2
4,14,5
10,12,2
